Zone,State,City,Name,Type,Google review rating,Best Time to visit,time needed to visit in hrs,Airport with 50km Radius,Category,Category_ID
Northern,Delhi,Delhi,India Gate,War Memorial,4.6,Evening,0.5,Yes,Historical,1
Northern,Delhi,Delhi,Humayun's Tomb,Tomb,4.5,Afternoon,2.0,Yes,Historical,1
Northern,Delhi,Delhi,Akshardham Temple,Temple,4.6,Afternoon,5.0,Yes,Religious,2
Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,4.1,Evening,2.0,Yes,Urban,4
Northern,Delhi,Delhi,Jantar Mantar,Observatory,4.2,Morning,2.0,Yes,Historical,1
Northern,Delhi,Delhi,Chandni Chowk,Market,4.2,Afternoon,3.0,Yes,Urban,4
Northern,Delhi,Delhi,Lotus Temple,Temple,4.5,Evening,1.0,Yes,Religious,2
Northern,Delhi,Delhi,Red Fort,Fort,4.5,Afternoon,2.0,Yes,Historical,1
Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,4.2,Afternoon,1.0,Yes,Historical,1
Northern,Delhi,Delhi,Sunder Nursery,Park,4.6,Afternoon,2.0,Yes,Nature,0
Northern,Delhi,Delhi,Garden of Five Senses,Park,4.1,Morning,2.0,Yes,Nature,0
Northern,Delhi,Delhi,Lodhi Garden,Park,4.5,Anytime,1.0,Yes,Nature,0
Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,4.5,Anytime,3.0,Yes,Historical,1
Northern,Delhi,Delhi,National Zoological Park ,Zoo,4.1,Anytime,3.0,Yes,Urban,4
Northern,Delhi,Delhi,Qutub Minar,Monument,4.5,Afternoon,1.0,Yes,Historical,1
Northern,Delhi,Delhi,National Science Centre,Science,4.4,Anytime,5.0,Yes,Historical,1
Western,Maharastra,Mumbai,Marine Drive,Promenade,4.5,Evening,2.0,Yes,Urban,4
Western,Maharastra,Mumbai,Gateway of India,Monument,4.6,Anytime,1.0,Yes,Historical,1
Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,4.6,Anytime,1.0,Yes,Historical,1
Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,4.3,Anytime,3.0,Yes,Nature,0
Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,4.8,Anytime,2.0,Yes,Religious,2
Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,4.7,Anytime,1.0,Yes,Religious,2
Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,4.4,Anytime,2.0,Yes,Religious,2
Western,Maharastra,Mumbai,Chowpatty Beach,Beach,4.3,Evening,2.0,Yes,Nature,0
Western,Maharastra,Mumbai,Essel World,Amusement Park,4.3,Anytime,5.0,Yes,Urban,4
Western,Maharastra,Mumbai,Elephanta Caves,Monument,4.3,Anytime,4.0,Yes,Historical,1
Western,Maharastra,Lonavala,Imagicaa,Amusement Park,1.4,Anytime,5.0,No,Urban,4
Southern,Karnataka,Bangalore,Bangalore Palace,Palace,4.2,Morning,2.0,Yes,Historical,1
Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,4.4,Evening,1.5,Yes,Nature,0
Southern,Karnataka,Bangalore,Cubbon Park,Park,4.4,Morning,1.0,Yes,Nature,0
Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,4.6,Morning,0.5,Yes,Historical,1
Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,4.6,Evening,1.0,Yes,Religious,2
Southern,Telangana,Hyderabad,Charminar,Landmark,4.5,Morning,1.0,Yes,Historical,1
Southern,Telangana,Hyderabad,Golconda Fort,Fort,4.4,Morning,2.0,Yes,Historical,1
Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,4.3,Evening,1.0,Yes,Nature,0
Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,4.4,Anytime,4.0,Yes,Urban,4
Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,4.4,Anytime,2.0,Yes,Historical,1
Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,4.4,Morning,1.0,Yes,Historical,1
Southern,Telangana,Hyderabad,Birla Mandir,Temple,4.7,Anytime,1.0,Yes,Religious,2
Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,4.4,Morning,1.5,Yes,Historical,1
Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,4.2,Morning,3.0,Yes,Urban,4
Southern,Telangana,Hyderabad,Lumbini Park,Park,4.1,Evening,1.0,Yes,Nature,0
Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,4.6,Morning,1.5,Yes,Historical,1
Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,4.6,Anytime,0.5,Yes,Urban,4
Eastern,West Bengal,Kolkata,Indian Museum,Museum,4.6,Morning,2.0,Yes,Historical,1
Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,4.7,Morning,1.0,Yes,Religious,2
Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,4.4,Morning,1.0,Yes,Religious,2
Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,4.1,Anytime,3.0,Yes,Urban,4
Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,4.3,Afternoon,2.0,Yes,Urban,4
Eastern,West Bengal,Kolkata,Science City Kolkata,Science,4.4,Anytime,3.0,Yes,Historical,1
Eastern,West Bengal,Kolkata,Belur Math,Site,4.7,Morning,1.5,Yes,Historical,1
Eastern,West Bengal,Kolkata,Marble Palace,Palace,4.4,Afternoon,1.0,Yes,Historical,1
Southern,Goa,Goa,Calangute Beach,Beach,4.4,Evening,2.0,Yes,Nature,0
Southern,Goa,Goa,Basilica of Bom Jesus,Church,4.5,Afternoon,1.0,Yes,Religious,2
Southern,Goa,Goa,Fort Aguada,Fort,4.2,Morning,1.5,Yes,Historical,1
Southern,Goa,Goa,Dudhsagar Falls,Waterfall,4.6,Afternoon,3.0,Yes,Nature,0
Southern,Goa,Goa,Anjuna Beach,Beach,4.4,Evening,2.0,Yes,Nature,0
Southern,Goa,Goa,Chapora Fort,Fort,4.2,Evening,1.0,Yes,Historical,1
Southern,Goa,Goa,Se Cathedral,Church,4.5,Afternoon,1.0,Yes,Religious,2
Southern,Goa,Goa,Baga Beach,Beach,4.5,Evening,2.0,Yes,Nature,0
Southern,Goa,Goa,Arambol Beach,Beach,4.6,Evening,2.0,Yes,Nature,0
Southern,Goa,Goa,Palolem Beach,Beach,4.6,Evening,2.0,Yes,Nature,0
Southern,Goa,Goa,Colva Beach,Beach,4.3,Evening,2.0,Yes,Nature,0
Southern,Goa,Goa,Miramar Beach,Beach,4.2,Evening,1.5,Yes,Nature,0
Southern,Goa,Goa,Aguada Beach,Beach,4.5,Evening,2.0,Yes,Nature,0
Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,3.9,Afternoon,2.0,Yes,Nature,0
Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,4.6,Morning,1.5,Yes,Historical,1
Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,4.7,Evening,2.0,No,Religious,2
Western,Gujarat,Junagadh,Gir National Park,National Park,4.5,Morning,3.0,No,Nature,0
Western,Gujarat,Bhuj,White Desert,Site,4.6,Evening,2.5,Yes,Historical,1
Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,4.4,Afternoon,2.0,Yes,Historical,1
Western,Gujarat,Somnath,Somnath Temple,Temple,4.8,Morning,2.0,No,Religious,2
Western,Gujarat,Rann Of Kutch,Rann Utsav,Cultural,4.9,Evening,3.0,Yes,Historical,1
Western,Gujarat,Kevadia,Statue of Unity,Monument,4.6,Anytime,3.0,No,Historical,1
Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,4.5,Anytime,1.5,No,Historical,1
Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,4.6,Evening,1.0,Yes,Urban,4
Western,Gujarat,Ahmedabad,Manek Chowk,Market,4.4,Night,2.0,Yes,Urban,4
Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,4.5,Afternoon,3.0,Yes,Nature,0
